,Name,Author's affiliation,venue name,Item Type,Publication Year,Subject category,Data type,task,Abstract Note,Author,Assignee,Relevant,DOI,Compared approaches,Dataset,Error type,Limitations and shortcomings,Model,"Performance (ML-wise e.g. accuracy, etc.)","Performance (engineering-wise e.g. time, memory, etc.)",Quality measurements,In SLR,Key,Personal comments,Q1,Q1.1,Q1.2,Q1.3,Q1.4,Q1.5,Q1.6,Q1.7,Q2,Q2.1,Q2.2,Replication package link,from
129,Performance analysis of machine learning algorithms for missing value imputation,Academia,International Journal of Advanced Computer Science and Applications,journalArticle,2018,ML4DC,tabular,imputation,"Data mining requires a pre-processing task in which the data are prepared, cleaned, integrated, transformed, reduced and discretized for ensuring the quality. Missing values is a universal problem in many research domains that is commonly encountered in the data cleaning process. Missing values usually occur when a value of stored data absent for a variable of an observation. Missing values problem imposes undesirable effect on analysis results, especially when it leads to biased parameter estimates. Data imputation is a common way to deal with missing values where the missing value's substitutes are discovered through statistical or machine learning techniques. Nevertheless, examining the strengths (and limitations) of these techniques is important to aid understanding its characteristics. In this paper, the performance of three machine learning classifiers (K-Nearest Neighbors (KNN), Decision Tree, and Bayesian Networks) are compared in terms of data imputation accuracy. The results shows that among the three classifiers, Bayesian has the most promising performance.","Abidin, N.Z.; Ismail, A.R.",PO,YES,,(1) KNN (2) Bayesian Networks (3) Decision Trees,Open up to see the full list,missing values,-,(1) KNN (2) Bayesian Networks (3) Decision Trees,"Bayesian Network is usually better, but prohibitively expensive on large datasets. Second best is DT.",BN is expensive on large datasets,Different metrics to evaluate the error of the imputation method for missing values for numerical fields: (1) MAE (2) MSE (3) RMSE ,,AMPP66IC,-,0,,,,,,,,0,,,-,
130,Inconsistent data cleaning based on the maximum dependency set and attribute correlation,,,journalArticle,2018,DC4ML,tabular,error detection/repair,"… inconsistency in databases, then we propose an inconsistent data cleaning framework and … corresponding conflict-free data instance using an unsupervised machine learning method …","Li, P; Dai, C; Wang, W",Amin,score too low,,,,,,,,,,,FHDGR22K,,0,,,,,,,,0,0.0,0.0,,
131,Cleaning Crowdsourced Labels Using Oracles For Supervised Learning,Academia,VLDB Endowment,conferencePaper,2018,ML4DC,tabular,mislabel correction,"… supervised learning algorithm for noisy labels. Instead, we aim to develop a label cleaning … the best use of oracle-based cleaning for supervised learning. As shown in Figure 1, suppose …","Dolatshah, M; Teoh, M; Wang, J; Pei, J",PO,YES,,"(1) Random selection of instances (2) Clean instances with highest label noise (not considering its impact on the end model) (3) ActiveClean (4) Uncertainty sampling (i.e. clean the instance the model is the most uncertain about) (5) Expected Error Reduction (similar to what they are doing, read paper for more details) (6) Hung","Pure synthetic datasets (i.e. features and labels): (1.1) 2-d gaussian (small) (1.2) 2-d gaussian (large). Real datasets with synthetic label noise: (2.1) Heart (2.2) diabetes (2.3) cancer. Real dataset, real crowdsource labeling: (3.1) restaurant",mislabel,-,-,It generally is better (i.e. it improve model’s performances the fastest and the most),"Very poor, to return only on instance to be relabeled, models without one instance in the dataset must be trained (i.e. if dataset size is 10, then 10 models must be trained to find the best dataset version). They provide an optimization which they do not explain (pruning)",Accuracy of the end model,,GPE4HXJT,"The paper is way too complicated for what they did. Furthermore, the contribution is almost trivial and the method is highly inefficient. At each iteration, x model must be trained, where x is the size of the dataset.",8,2.0,2.0,1.0,1.0,0.0,1.0,1.0,2,2.0,0.0,,
132,How to Address the Data Quality Issues in Regression Models: A Guided Process for Data Cleaning,Academia,Symmetry,journalArticle,2018,,,error detection/repair,"Today, data availability has gone from scarce to superabundant. Technologies like IoT, trends in social media and the capabilities of smart-phones are producing and digitizing lots of data that was previously unavailable. This massive increase of data creates opportunities to gain new business models, but also demands new techniques and methods of data quality in knowledge discovery, especially when the data comes from different sources (e.g., sensors, social networks, cameras, etc.). The data quality process of the data set proposes conclusions about the information they contain. This is increasingly done with the aid of data cleaning approaches. Therefore, guaranteeing a high data quality is considered as the primary goal of the data scientist. In this paper, we propose a process for data cleaning in regression models (DC-RM). The proposed data cleaning process is evaluated through a real datasets coming from the UCI Repository of Machine Learning Databases. With the aim of assessing the data cleaning process, the dataset that is cleaned by DC-RM was used to train the same regression models proposed by the authors of UCI datasets. The results achieved by the trained models with the dataset produced by DC-RM are better than or equal to that presented by the datasets' authors.","Corrales, D.C.; Corrales, J.C.; Ledezma, A.",Dima,score too low - 3,10.3390/sym10040099,,"UCI Repository of Machine
Learning Databases.",,,,,,Mean Absolute Errors (MAE,NO,CTSHMHVY,Good for snowbowling. Authors present a general approach not a concrete approach.,4,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0,0.0,0.0,,
133,Workload-Aware Discovery of Integrity Constraints for Data Cleaning.,,,journalArticle,2018,DC4ML,tabular,error detection/repair,… Eduardo HM Pena supervised by Eduardo Cunha de Almeida Federal … the effectiveness of current methods for data repairing is highly … Our goal is mining ICs for data cleaning …,"Peña, E",PO,exclusion criteria last step,,,,,,,,,,,F2P7XT3D,,0,,,,,,,,0,,,,
134,An importance-and-semantics-aware approach for entity resolution using MLP,,,conferencePaper,2018,ML4DC,tabular,entity matching / duplicate removal,"Entity resolution (ER), as the process of identifying records which depict the same real-world entity, plays a fundamental role in data integration and data cleaning tasks. Although deep learning techniques of data science have transformed various applications, there are few efforts to leverage these techniques to deal with entity resolution. We also observe the importance of overlapped tokens and the semantic similarity from pre-trained word vectors can benefit ER. To this end, we propose a deep learning based framework for ER, which can leverage the state-of-the-art techniques in deep neural network communities. We also propose an importance-and-semantics-aware approach for ER using a multilayer perceptron (MLP), to combine the importance of overlapped tokens, semantic similarity and textual similarity of corresponding attribute values of pairs. Comparative experiments demonstrate that our method outperforms the traditional method.  Springer Nature Singapore Pte Ltd. 2018.","Xu, Yaoli; Li, Zhanhuai; Qi, Wanhua",PO,Not accessible,10.1007/978-981-13-2203-7_8,,,,,,,,,,G6SIL7EJ,,0,,,,,,,,0,,,,
135,A comparative evaluation of outlier detection algorithms: Experiments and analyses  ,Both,Pattern Recognit.,journalArticle,2018,ML4DC,tabular,outliers detection,"We survey unsupervised machine learning algorithms in the context of outlier detection. This task challenges state-of-the-art methods from a variety of research fields to applications including fraud detection, intrusion detection, medical diagnoses and data cleaning. The selected methods are benchmarked on publicly available datasets and novel industrial datasets. Each method is then submitted to extensive scalability, memory consumption and robustness tests in order to build a full overview of the algorithms characteristics.  2017 Elsevier Ltd","Domingues, Remi; Filippone, Maurizio; Michiardi, Pietro; Zouaoui, Jihane",,YES,10.1016/j.patcog.2017.09.037,"14 methods categorized into:
* probabilistic methods (most of them falls here)
* distance based
* Neighbor based
* information theory
* Neural Networks
* Domain based 
* Isolation methods","15 datasets (synthetic and real) ranging from 723 to 20,000 samples and containing from 6 to 107 features (12 public and 3 proprietary)",outliers,,NA (comparative),"basic results:

robustness: robustness measures on synthetic datasets confirm the poor performance of abod and gwr. 
Good average results were observed for iforest, ocsvm, lof, rkde, dpgmm and gmm. The nearest-neighbor-based methods showed difficulties in handling datasets with a high background noise.","memory:  ocsvm, gwr and abod have the best memory requirements and
scalability and never exceed 250MB RAM, at the cost of a higher
computation time

computation time: iforest and lsa show a very good training and prediction time scaling for both increasing number of features and samples, along with a very small base computation time. dpgmm, gmm and bgm scale well on datasets with a large number of samples and thus could be suitable for systems where fast predictions matter. The base computation time of dpgmm is however an important issue when the number of features becomes higher than a hundred. rkde, ocsvm and sod which have good outlier detection performance on real
datasets are thus computationally expensive, which adds interest to iforest, dpgmm and simpler models such as gmm, kl, ppca or Mahalanobis.","ROC AUC and PR AUC 
robustness (for increasing dimensionality, samples, and noise density), scalability (computation and prediction time when increasing dimensionality and samples), memory usage (for increasing dimensionality, samples)",,PZLJ5JTE,,12,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2,0.0,2.0,,
136,A citeseerx-based dataset for record linkage and metadata extraction,,,conferencePaper,2018,"DC4ML, ML4DC",tabular,entity matching / duplicate removal,"Data cleaning constitutes an important problem in information science. Collecting data about the same entities from multiple sources or following distinct methodologies might result in slightly different, inconsistent data. The objective of data cleaning is to produce a fused version combining the differing data, resulting in a cleaner dataset. In this paper we collect document metadata records from CiteSeerX and build a supervised record linker to Crossref. The supervised method is trained using a manually linked dataset containing 512 verified DOIs-to our knowledge, up to now being the largest such dataset for bibliographic record linkage. We experiment using different supervised learning methods, and also prove experimentally that the accuracy of the attached metadata records can improve the performance of automatic metadata extraction systems.  2018 IEEE.","Bodo, Zalan",PO,exclusion criteria last step,10.1109/SYNASC.2018.00044,,,,,,,,,,,,0,,,,,,,,0,,,,
137,Joint multi-field siamese recurrent neural network for entity resolution,,,conferencePaper,2018,ML4DC,tabular,entity matching / duplicate removal,"Entity resolution which deals with determining whether two records refer to the same entity has a wide range of applications in both data cleaning and integration. Traditional approaches focus on using string metrics to calculate the matching scores of recorded pairs or employing the machine learning technique with hand-crafted features. However, the effectiveness of these methods largely depends on designing good domain-specific metric methods or extracting discriminative features with rich domain knowledge. Also, traditional learning-based methods usually ignore the discrepancy between citations fields. In this paper, to decrease the impact of information gaps between different fields and fully take advantage of semantical and contextual information in each field, we present a novel joint multi-field siamese recurrent architecture. In particular, our method employs word-based Long Short-Term Memory (LSTM) for the fields with the strong relevance between each word and character-based Recurrent Neural Network (RNN) for the fields with the weak relevance between each word, which can exploit each fields temporal information effectively. Experimental results on three datasets demonstrate that our model can learn discriminative features and outperforms several baseline methods and other RNN-based methods.  Springer International Publishing AG, part of Springer Nature 2018.","Lv, Yang; Qi, Lei; Huo, Jing; Wang, Hao; Gao, Yang",PO,Not accessible,10.1007/978-3-319-97310-4_55,,,,,,,,,,,,0,,,,,,,,0,,,,
138,Data civilizer 2.0: A holistic framework for data preparation and analytics,,,journalArticle,2018,"DC4ML, DC4ML - intro only",any,error detection/repair,"Data scientists spend over 80% of their time (1) parameter-tuning machine learning models and (2) iterating between data cleaning and machine learning model execution. While there are existing efforts to support the first requirement, there is currently no integrated workflow system that couples data cleaning and machine learning development. The previous version of Data Civilizer was geared towards data cleaning and discovery using a set of pre-defined tools. In this paper, we introduce Data Civilizer 2.0, an end-to-end workflow system satisfying both requirements. In addition, this system also supports a sophisticated data debugger and a workflow visualization system. In this demo, we will show how we used Data Civilizer 2.0 to help scientists at the Massachusetts General Hospital build their cleaning and machine learning pipeline on their 30TB brain activity dataset.  2019 VLDB Endowment.","Rezig, El Kindi; Cao, Lei; Stonebraker, Michael; Simonini, Giovanni; Tao, Wenbo; Madden, Samuel; Ouzzani, Mourad; Tang, Nan; Elmagarmid, Ahmed K.",PO,score too low,10.14778/3352063.3352108,,,,,,,,,,,,5,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,,
139,Online reasoning for semantic error detection in text,,,journalArticle,2017,ML4DC,text,error detection/repair,"… error detection method using predefined errors for extraction rules [10] and machine learning-… In this paper, we propose online reasoning for semantic error detection, a new method for …","Gutierrez, F; Dou, D; Silva, N de; Fickas, S",,score too low,10.1007/s13740-017-0079-6,,,,,,,,,,XFWX792J,"Not relevant, because not using ML for identifying semantically incorrect content, instead it is based on logic reasoning (consists of two steps: in the first step, sentences are transformed into logic clauses through a combination of IE and vocabulary mapping) and domain knowledge. ",0,,,,,,,,0,0.0,0.0,,
140,Finding and correcting syntax errors using recurrent neural networks,Academia,PeerJ,journalArticle,2017,ML4DC,text,error detection/repair,"… To approximate such a function, we used machine learning to map contexts to categorical … We describe a two-LSTM system, and its syntax error detection strategy. We then describe our …","Santos, EA; Campbell, JC; Hindle, A; Amaral, JN",,YES,https://doi.org/10.7287/peerj.preprints.3123v1,n-gram model of order 10,Built corpus from over 9000 JavaScript repositories mined from Github,Syntax Error,"Low speed for providing suggestions (6 seconds)
Scalability Issue
Evolvement of language definitions cause the tool to fail to find the appropriate syntax error where it otherwise was able to produce a valid fix
",Two LSTM models: one forward and one backward,"correct location of the syntax error: 54.74% in its top 4 suggestions 
exact fix up to 35.50% of the time",- (although they mentioned it is slow they did not show or discuss experiments related to this),"Mean Reciprocal Rank (MRR) for finding syntax error
Percentage and raw number of valid fixes
",,3S8ZRTJP,"not peer reviewed 
shows only the final results when comparing to the other approach but does not show any details or conducted experiments ",9,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2,0.0,2.0,https://github.com/eddieantonio/training-grammar-guru/blob/icsme2017/bin/detect.py,
141,Deep Context Model for Grammatical Error Correction.,,,journalArticle,2017,ML4DC,text,error detection/repair,"… than coverage in error detection. The Precision, recall and F0.5 are defined as follows: … We propose a new neural network architecture to learn context representation and then use …","Wang, C; Li, R; Lin, H",,exclusion criteria last step,,"per error type: CUUI (best classifier in CoNLL-2014 combining rules and machine translation methods)
general (avg over all 5 types): CUUI, top-2 in CoNLL-2014 (classifier based), encoder-decoder recurrent
neural network with an attention mechanism [8], and another classifier-based [10]","wiki dump for training
CoNLL-2014 test dataset for evaluation","Grammatical 
(article, preposition, verb form, noun number, and subjective agreement)",,bidirectional Gated Recurrent Units ,"F0.5: 42.1, 19.1, 15.3, 42.4, 49.9 for article, preposition, verb form, noun number, and subjective agreement, respectively.
Outperforms CUUI in 4 out of 5 error types but mostly non-significant difference (0.1- 1.3) except for article error (8.4)
Outperforms other compared approaches which achieved 36.8 to 40.1 compared to 41.6 for proposed approach",-,"Precision
Recall
F0.5 (assign higher weight to precision)",,HLMC3MI9,"workshop in a c conference, but outperforms top approaches in CONLL-2014. However, no related work section (brief discussion about existing approaches in introduction)",9,2.0,2.0,1.0,2.0,0.0,1.0,1.0,2,0.0,2.0,,
142,Duplicated record detection based on improved RBF neural network,Both,IAEAC,journalArticle,2017,ML4DC,tabular,entity matching / duplicate removal,… Attention towards the data cleaning is a critical issue for the organization of data in many applications [1]. Duplicated record detection is an important part of data cleaning and it is …,"Liu, X; Cai, X; Li, B; Chen, M",PO,score too low - 4,,QL,-,duplicates,-,RBF NN,comparable,-,(1) Accuracy (2) Recall,,T54PFA6Q,-,6,2.0,1.0,0.0,1.0,0.0,1.0,1.0,2,0.0,2.0,-,
143,Holoclean: Holistic data repairs with probabilistic inference,Academia,arxiv,journalArticle,2017,ML4DC,tabular,error repair,"… First, we focus on data repairing methods that rely on integrity constraints [5, 8, 12]. These … • SCARE [39]: This is a state-of-the-art data cleaning method that relies on machine learning …","Rekatsinas, T; Chu, X; Ilyas, IF; Ré, C",PO,YES,,(1) Holistic (2) Katara (3) SCARE,(1) Hospital (2) Flights (3) Food (4) Physicians. All with ground truth values (either it was already available or they manually labeled it),wrong values,-,Factor graph,Holoclean consistently outperforms other approaches,Slower than compared approaches (mostly because it combines other approaches),(1) Precision (i.e. the fraction of correct repairs) (2) Recall (3) F1 Score,YES,PGFQMSFN,-,12,2.0,2.0,2.0,2.0,0.0,2.0,2.0,4,2.0,2.0,https://github.com/HoloClean/holoclean,
144,Label denoising based on Bayesian aggregation,Academia,International Journal of Machine Learning and Cybernetics,journalArticle,2017,ML4DC,tabular,mislabel correction,"Label noise is a common problem that affects supervised learning and can produce misleading results. It is shown that only 5% of switched labels lead to a decrease of performances. Therefore, the true class of an instance must be distinguished from its observed label. In the past decade, classification in presence of label noise was the topic of interest. Several scholars focused on kNN-based approaches for data cleansing. These types of approaches often are susceptible to high label noise rate and when a batch of instances with noisy labels are exist they may deteriorate the results. The problem arises since the methods have a local view of instances. Another approach is to have a global view of instances. In a global view, instances with large distance from their respective classes are detected as noisy. A potential problem however is the determination of a threshold. An inappropriate threshold may lead to detection of a correct instance as noisy instance. In this paper a new method for label denoising based on Bayesian aggregation is proposed which solves the problems of kNN-based approaches by aggregating the local and global views of instances. The aggregation of local and global information leads to a more robust and accurate detection of instances with noisy labels and estimation of their true labels. The experimental results show the capabilities and robustness of the proposed method.  2015, Springer-Verlag Berlin Heidelberg.","Bagherzadeh, Parsa; Sadoghi Yazdi, Hadi",Dima,YES,10.1007/s13042-015-0474-y,"IB2, DROP, CCTree, MCTree, WkNN, KDBMS","UCI data sets (https://archive.ics.uci.edu/ml/index.php): BUPA, Ionosphere, Alabone, Pen digits",,Compared approaches are dated from 90ies,SVM with linear kernel,"Precision, Sensitivity, F1",no such performance metrics,Ranking algorithms based on the Friedman test ,,IRWZDJP4,,9,1.0,2.0,1.0,2.0,0.0,1.0,2.0,4,2.0,2.0,,
145,ERBlox: Combining matching dependencies with machine learning for entity resolution,Both,International Journal of Approximate Reasoning,journalArticle,2017,ML4DC,tabular,entity matching / duplicate removal,"Entity resolution (ER), an important and common data cleaning problem, is about detecting data duplicate representations for the same external entities, and merging them into single representations. Relatively recently, declarative rules called matching dependencies (MDs) have been proposed for specifying similarity conditions under which attribute values in database records are merged. In this work we show the process and the benefits of integrating four components of ER: (a) Building a classifier for duplicate/non-duplicate record pairs built using machine learning (ML) techniques; (b) Use of MDs for supporting the blocking phase of ML; (c) Record merging on the basis of the classifier results; and (d) The use of the declarative language LogiQLan extended form of Datalog supported by the LogicBlox platformfor all activities related to data processing, and the specification and enforcement of MDs.  2017 Elsevier Inc.","Bahmani, Zeinab; Bertossi, Leopoldo; Vasiloglou, Nikolaos",PO,score too low,10.1016/j.ijar.2017.01.003,-,(1) Core (2) DBLP,duplicates,-,SVM,-,-,(1) Recall (2) Precision,,,-,6,2.0,1.0,0.0,1.0,0.0,1.0,1.0,0,,,-,
146,Unsupervised record matching with noisy and incomplete data,,,journalArticle,2017,"DC4ML, DC4ML - intro only",tabular,entity matching / duplicate removal,"We consider the problem of duplicate detection in noisy and incomplete data: given a large data set in which each record has multiple entries (attributes), detect which distinct records refer to the same real world entity. This task is complicated by noise (such as misspellings) and missing data, which can lead to records being different, despite referring to the same entity. Our method consists of three main steps: creating a similarity score between records, grouping records together into ""unique entities"", and refining the groups. We compare various methods for creating similarity scores between noisy records, considering different combinations of string matching, term frequency-inverse document frequency methods, and n-gram techniques. In particular, we introduce a vectorized soft term frequency-inverse document frequency method, with an optional refinement step. We also discuss two methods to deal with missing data in computing similarity scores. We test our method on the Los Angeles Police Department Field Interview Card data set, the Cora Citation Matching data set, and two sets of restaurant review data. The results show that the methods that use words as the basic units are preferable to those that use 3-grams. Moreover, in some (but certainly not all) parameter ranges soft term frequency-inverse document frequency methods can outperform the standard term frequency-inverse document frequency method. The results also confirm that our method for automatically determining the number of groups typically works well in many cases and allows for accurate results in the absence of a priori knowledge of the number of unique entities in the data set. Copyright  2017, The Authors. All rights reserved.","Van Gennip, Yves; Hunter, Blake; Ma, Anna; Moyer, Daniel; De Vera, Ryan; Bertozzi, Andrea L.",PO,exclusion criteria last step,,,,,,,,,,,,,0,,,,,,,,0,0.0,0.0,,
147,A framework for assessing achievability of data-quality constraints,,,journalArticle,2017,,,error detection/repair,"Toward addressing this problem, we develop a new framework that abstracts data-processing tools as black-box procedures with only some of the properties exposed, such as the applicability requirements, the parts of the data that the procedure modifies, and the conditions that the data satisfy once the procedure has been applied. We show how common database tasks such as data cleaning and data migration are encapsulated into our framework and, as a proof of concept, we study basic properties of the framework for the case of procedures described by standard relational constraints. We show that, while reasoning in this framework may be computationally infeasible in general, there exist well-behaved special cases with potential practical applications.Assessing and improving the quality of data are fundamental challenges for data-intensive systems that have given rise to numerous applications targeting transformation and cleaning of data. However, while schema design, data cleaning, and data migration are nowadays reasonably well understood in isolation, not much attention has been given to the interplay between the tools addressing issues in these areas. We focus on the problem of determining whether the available data-processing procedures can be used together to bring about the desired quality characteristics of the given data. For an illustration, consider an organization that is introducing new data-analysis tasks. Depending on the tasks, it may be a priority for the organization to determine whether its data can be processed and transformed using the available data-processing tools to satisfy certain properties or quality assurances needed for the success of the task. Here, while the organization may control some of its tools, some other tools may be external or proprietary, with only basic information available on how they process data. The problem is then, how to decide which tools to apply, and in which order, to make the data ready for the new tasks? Copyright  2017, The Authors. All rights reserved.","Chirkova, Rada; Doyle, Jon; Reutter, Juan L.",PO,exclusion criteria last step,,,,,,,,,,,,,0,,,,,,,,0,0.0,0.0,,
148,Data Improving in Time Series Using ARX and ANN Models,Academia,IEEE Transactions on Power Systems,journalArticle,2017,"DC4ML, ML4DC",tabular,error detection/repair,"Anomalous data can negatively impact energy forecasting by causing model parameters to be incorrectly estimated. This paper presents two approaches for the detection and imputation of anomalies in time series data. Autoregressive with exogenous inputs (ARX) and artificial neural network (ANN) models are used to extract the characteristics of time series. Anomalies are detected by performing hypothesis testing on the extrema of the residuals, and the anomalous data points are imputed using the ARX and ANN models. Because the anomalies affect the model coefficients, the data cleaning process is performed iteratively. The models are re-learned on “cleaner” data after an anomaly is imputed. The anomalous data are reimputed to each iteration using the updated ARX and ANN models. The ARX and ANN data cleaning models are evaluated on natural gas time series data. This paper demonstrates that the proposed approaches are able to identify and impute anomalous data points. Forecasting models learned on the unclean data and the cleaned data are tested on an uncleaned out-of-sample dataset. The forecasting model learned on the cleaned data outperforms the model learned on the unclean data with 1.67% improvement in the mean absolute percentage errors and a 32.8% improvement in the root mean squared error. Existing challenges include correctly identifying specific types of anomalies such as negative flows.",H. N. Akouemo; R. J. Povinelli,Dima,YES,10.1109/TPWRS.2017.2656939,,,,,,,,,,,Good for snowbowling,10,1.0,2.0,2.0,1.0,1.0,1.0,2.0,2,1.0,1.0,,
149,Automated data cleansing through meta-learning,Both,AAAI,conferencePaper,2017,"DC4ML, DC4ML - intro only, ML4DC",any,holistic,"Data preprocessing or cleansing is one of the biggest hurdles
in industry for developing successful machine learning applications. The process of data cleansing includes data imputation, feature normalization & selection, dimensionality reduction, and data balancing applications. Currently such preprocessing is manual. One approach for automating this process
is meta-learning. In this paper we experiment with state of
the art meta-learning methodologies and identify the inadequacies and research challenges for solving such a problem.","Gemp, Ian; Theocharous, Georgios; Ghavamzadeh, Mohammad",PO,YES,,None,(1) Scikit-Learn’s make classification method (2) Adobe’s internal dataset (3) classification tasks downloaded from http://openml.org/,-,Does not works. I suppose the meta feature they use are bad. They should have used embeddings or a model that directly output similarity scores.,-,-,-,"Normalized relative rank (worst results of the experiments tend toward 0, while the best, 1)",YES,,,9,2.0,2.0,1.0,2.0,0.0,1.0,1.0,4,2.0,2.0,,
150,A novel cost-based model for data repairing,,,journalArticle,2016,DC4ML,tabular,error detection/repair,"In this paper, we
propose a revised semantics of violations and data consistency w.r.t. a set of ICs. The revised semantics relies on string similarities, in
contrast to traditional methods that use syntactic error detection using string equality. Along with the revised semantics, we also
propose a new cost model to quantify the cost of data repair by considering distances between strings. We show that the revised
semantics provides a significant change for better detecting and grouping errors, which in turn improves both precision and recall of the
following data repairing step. We prove that finding minimum-cost repairs in the new model is NP-hard, even for a single FD. We devise
efficient algorithms to find approximate repairs. In addition, we develop indices and optimization techniques to improve the efficiency.
Experiments show that our approach significantly outperforms existing automatic repair algorithms in both precision and recall.","Hao, S; Tang, N; Li, G; He, J; Ta, N; ...",Dima,score too low,,"We compared with NADEEF [11], Unified Repair Model
(URM) [37] and Llunatic [38] for FD repairs. For URM, to
ensure a fair comparison, we implemented it with only data
repair option without constraint repair. For Llunatic, we
chose the frequency cost-manager and Metric 0.5 was used
to measure the repair quality (for each cell repaired to a variable,
it was counted as a partially correct change). [11] M. Dallachiesa, et al., “NADEEF: A commodity data cleaning
system,” in Proc. ACM SIGMOD Int. Conf. Manage. Data, 2013,
pp. 541–552., [37] F. Chiang and R. J. Miller, “A unified model for data and constraint
repair,” in Proc. IEEE 27th Int. Conf. Data Eng., 2011,
pp. 446–457. [38] F. Geerts, G. Mecca, P. Papotti, and D. Santoro, “The LLUNATIC
data-cleaning framework,” Proc. VLDB Endowment, vol. 6, no. 9,
pp. 625–636, 2013.","HOSP was taken from the US Department of
Health Services (http://www.hospitalcompare.hhs.gov/).
We used 20k records with 19 attributes and 9 FDs.",,I think the main limitation is that still all the FD (functional dependencies) relations need to be manually defined. ,,,"Greedy-S ran faster than NADEEF and Llunatic but slower than URM, NADEEF and Llunatic were slow as they
were DBMS-based algorithms. When handling multiple FDs,
Appro-M with pruning ran fastest. After getting the repair
targets in each constraint, Appro-M joined them and computed
the best repair for each tuple utilizing an effective
tree index."," We used precision and recall to evaluate
the repairing quality: precision is the ratio of correctly
repaired attribute values to the number of all the repaired
attributes; and recall is the ratio of correctly repaired attribute
values to the number of all erroneous values.",,FXKZHDSH,"The paper is well written, however it’s quite difficult to understand the details of the algorithm to find the independent set with minimal repair cost. They give an example, but still it’s not clear enough as for me. ",12,2.0,1.0,2.0,2.0,1.0,2.0,2.0,0,0.0,0.0,,
151,Numerically grounded language models for semantic error correction,Academia,arxiv,conferencePaper,2016,ML4DC,text,error detection/repair,… Semantic error detection and correction is an important task for applications such as fact … Our contributions are: 1) a straightforward extension to recurrent neural network (RNN) …,"Spithourakis, GP; Augenstein, I; Riedel, S",,YES,http://dx.doi.org/10.18653/v1/D16-1101,"1. random scorer: assigns random scores from a uniform distribution. 
2 always (never) scorers: assign the lowest (highest) score to the original document and uniformly random scores to the corrections.
3. base-LM (a single-layer LSTM)
4. LM grounded in numeric quantities mentioned inline with text 
5. LM conditioned on a potentially incomplete KB 
6. 4&5",clinical records from the London Chest Hospital,Semantical ,,"LM grounded in numeric quantities mentioned inline with text 
LM conditioned on a potentially incomplete KB 
6. grounded-conditional (g-conditional)"," g-conditional models has the best results and improve the base-LM. While, grounded models has better results than base-LM, conditional models has worse results. 
Compared to baseline (random, always, never), LM-based models improved the results significantly.",-,"Mean Average Precision (MAP)
Precision
Recall
F1
perplexity (PP) 
adjusted perplexity (APP)",,5VI3A7PB,"they compared to baseline (random, always, never) as no previous approach has explored inline grounded numbers",9,2.0,2.0,1.0,2.0,0.0,1.0,1.0,2,0.0,2.0,,
152,A density-based data cleaning approach for deduplication with data consistency and accuracy,,,journalArticle,2016,DC4ML,tabular,more-than-one,… ] and unsupervised learning techniques [30] tried to solve the drawbacks of the supervised … Another data repair approach that deals with consistency and accuracy which is also based …,"Al-janabi, S; Janicki, R",PO,score too low,,,,,,,,,,,I32E5C3E,,0,,,,,,,,0,0.0,0.0,,
153,Repair diversification: A new approach for data repairing,,,journalArticle,2016,DC4ML,tabular,error detection/repair,"… risk of losing critical data, the guided data repairing framework [24] is recently proposed to … are first presented to the users, and machine learning techniques are then applied to user …","He, C; Tan, Z; Chen, Q; Sha, C",PO,score too low,,,,,,,,,,,3FS2X9T2,,0,,,,,,,,0,0.0,0.0,,
154,Entity matching across multiple heterogeneous data sources,,,journalArticle,2016,ML4DC,tabular,entity matching / duplicate removal,"… It is a well known and paramount problem that arises in many research fields, including data cleaning and integration, information retrieval and machine learning. There are many …","Kong, C; Gao, M; Xu, C; Qian, W; Zhou, A",PO,Not accessible,10.1007/978-3-319-32025-0_9,,,,,,,,,,PFLF9MZP,,0,,,,,,,,0,,,,
155,Detecting data errors: Where are we and what needs to be done?,,,journalArticle,2016,DC4ML,any,error detection/repair,… data cleaning tools that utilize a variety of error detection techniques. We also collected five real-… After each round we retrain the machine learning algorithms and compute precision and …,"Abedjan, Z; Chu, X; Deng, D; Fernandez, RC; ...",PO,score too low,10.14778/2994509.2994518,,,,,,,,,,S7YH7ING,,0,,,,,,,,0,0.0,0.0,,
156,Improving Data Quality by Leveraging Statistical Relational Learning.,Academia,ICIQ,journalArticle,2016,DC4ML,tabular,error detection/repair,"… SRL is a branch of machine learning that models joint distributions over relational data. … We define data cleaning rules in the form of CFDs and MDs. For example, we express φ as …","Visengeriyeva, L; Akbik, A; Kaul, M; Rabl, T; Markl, V",PO,YES,,against using integrity constraints individually,(1) hospital (2) TPC-h (3) MSAG,anything that can be discrovered by integrity constraints,-,probabilistic graphical model,better than compared approaches (obvs),-,precision recall f1,YES,KPW96E84,"not worth covering in details, just mention it in the SLR.",8,2.0,2.0,1.0,1.0,0.0,1.0,1.0,2,0.0,2.0,-,
